R&I Department Lead,Local project reference,CSU Name 1 (Primary),Project site status,Project site date site invited,Project site date site selected,Project type,Project Short title,R&I Internal Update,Waiting (Add Comment),Project ID,IRAS Number
Jilly McDougal,RL21/142445,Abdominal Medicine and Surgery,Project site in setup,19/08/2021,19/08/2021,Non-commercial portfolio,SELINA,,awaiting KSS approvals / initial contract check done by MK,142445,289659
Jilly McDougal,RL21/142539,Abdominal Medicine and Surgery,Project site in setup,25/08/2021,25/08/2021,Non-commercial portfolio,Pearl,,awaiting o/s KSS approvals / requested initial contract review from BB,142539,285362
Jilly McDougal,NE21/140612,Centre for Neurosciences,Project site in setup,01/09/2021,01/09/2021,Non-commercial portfolio,Collar or no collar for peg fracture,,Acknowledgement email draft forwarded to MK,144053,286604
Jilly McDougal,NE21/129478,Centre for Neurosciences,Project site in setup,02/09/2021,07/10/2021,Non-commercial portfolio,NEuRoMS Work Package 2i Observational Study,,"SA registered, MK to send ACK email and conduct QC",129478,276570
Jilly McDougal,PA21/125788,Children's,Project site in setup,09/09/2021,02/11/2021,Commercial portfolio,Phase II study of CFZ533 in paeds and young adults with new onset T1DM,,pending CTA to be provided ,125788,271290
Jilly McDougal,GA21/124490,Abdominal Medicine and Surgery,Project site in setup,14/09/2021,06/10/2021,Non-commercial portfolio,Colorectal Cancer Cohort Study (COLO-COHORT),"ccc issued await sponsor greenlight

",awaiting o/s docs and study info ,124490,259905
Jilly McDougal,GS21/144194,Abdominal Medicine and Surgery,Project site in setup,17/09/2021,11/11/2021,Non-commercial portfolio,Perfused Liver Utilisation Study (PLUS)  v1.0 13/08/2021,,awaiting o/s study docs and info (docs have been requested),144194,283200
Jilly McDougal,DM21/143720,Chapel Allerton Hospital,Project site in setup,28/09/2021,28/09/2021,Commercial portfolio,BE HEART ext,,Draft Acknowledgement email forwarded to Jade to send.,143720,1003865
Jilly McDougal,HM22/136549,Oncology,Project site in setup,28/09/2021,20/01/2022,Commercial portfolio,Asciminib evaluation in previously treated CML patients,"SJUH is main site, but LGI local page is being used as the SJUH page cannot be edited as its under different ownership + EDGE wont allow creation of another SJUH local page.","Study registered but unassigned untill Jade confirms(R&I coordinator), email not yet sent",136549,302263
Jilly McDougal,HM21/140955,Oncology,Project site in setup,01/10/2021,06/10/2021,Commercial portfolio,CARTITUDE-5,,SA registered and sent ACK email / awaiting Del Log / awaiting KSS,140955,300133
Jilly McDougal,RL21/130200,Abdominal Medicine and Surgery,Project site in setup,05/10/2021,05/10/2021,Non-commercial portfolio,The UNPACK Study: Phase 2,,awaiting KSS approvals,130200,278956
Jilly McDougal,RM21/113071,Cardio - Respiratory,Project site in setup,21/10/2021,21/10/2021,Non-commercial portfolio,TIPAL,,SA registered and issued 2 EMAILS - MK to conduct QC,113071,269050
Lee Tarnor,EN20/112822,Head and Neck,Project site in setup,13/02/2020,12/03/2020,Commercial portfolio,Opt3b,,"stuck with MPE, new SC reached out",112822,266771
Lee Tarnor,HM20/128350,Oncology,Project site in setup,17/09/2020,17/09/2020,Commercial portfolio,TP0004,"Covid delay email sent - No IRAS form (requested in email) - Unmodified agreement 

25/9/20",waiting on KSS,128350,1003022
Lee Tarnor,RM20/111476,Cardio - Respiratory,Project site in setup,18/09/2020,10/11/2020,Commercial portfolio,A randomised study of QBW251 in patients with bronchiectasis,,,137179,287333
Lee Tarnor,HM20/118535,Oncology,Project site in setup,23/09/2020,31/12/2021,Non-commercial portfolio,ToTem,"14th Oct 2020 - awaiting LIP, messing in email trails - see correspondence",,118535,252908
Lee Tarnor,HM20/133458,Oncology,Project site in setup,05/11/2020,12/01/2022,Commercial portfolio,Glofitamab in Relapsed/Refractory DLBCL (GO41944),,pending approvals ,133458,1003457
Lee Tarnor,OP20/137462,Head and Neck,Project site in setup,10/11/2020,24/11/2020,Commercial non-portfolio,Gene Therapy Trial for Patients with Retinitis Pigmentosa: RPGR,,,137462,286986
Lee Tarnor,HM21/137532,Oncology,Project site in setup,01/12/2020,01/12/2020,Commercial non-portfolio,GRACE. ,,pending CTA to be sent for rev -unmodified ,137532,1003492
Lee Tarnor,NE20/124253,Centre for Neurosciences,Project site in setup,11/12/2020,11/12/2020,Non-commercial portfolio,SOS trial: Hyperosmolar therapy in traumatic brain injury,,,124253,260350
Lee Tarnor,UR20/137437,Abdominal Medicine and Surgery,Project site in setup,17/12/2020,17/12/2020,Commercial portfolio,SunRISe-1,contract: ShahzadAlima@prahs.com,ICT details confirmed/ must request o/s study info/ awaiting local approvals,133530,291570
Lee Tarnor,HM21/110346,Oncology,Project site in setup,22/12/2020,22/12/2020,Non-commercial portfolio,Oxford Pre-cancerous Lymphoproliferative Disorders Study,educational project,awaiting Finance an CSU approvals,110346,242634
Lee Tarnor,GA21/138202,Abdominal Medicine and Surgery,Project site in setup,05/01/2021,10/02/2021,Commercial non-portfolio,MITIGATE,contracts & budget: Aisling Hagan A.Hagan@Medpace.com,awaiting local approvals / requested contract review from SH,138202,288140
Lee Tarnor,HM21/119589,Oncology,Project site in setup,12/01/2021,05/02/2021,Non-commercial portfolio,RAINBOW,approvals are being arranged via OneForm 24/02/2021,awaiting local approvals,119589,264348
Lee Tarnor,MO21/137238,Oncology,Project site in setup,12/01/2021,12/01/2021,Commercial portfolio,"Study of T3P-Y058-739, a GM strain of the bacterium Yersinia enterocolitica, in patient with adv ST",,"waiting on KSS, initial contract review done",137238,1003337
Lee Tarnor,OP21/135564,Head and Neck,Project site in setup,18/01/2021,18/01/2021,Commercial portfolio,Lumeos Follow-up,,awaiting local approvals,135564,287029
Lee Tarnor,ED21/137839,Emergency and Specialty Medicine,Project site in setup,21/01/2021,21/01/2021,Commercial portfolio,TCH-306,,Radiology block set up delayed,137839,289266
Lee Tarnor,GS21/138944,Abdominal Medicine and Surgery,Project site in setup,05/02/2021,22/11/2021,Commercial portfolio,PIEZO1 in Liver Surgery,,R&I Ack email sent - Liam to complete QC,138944,289032
Lee Tarnor,RM21/123302,Cardio - Respiratory,Project site in setup,17/02/2021,17/02/2021,Commercial portfolio,Observational study of benralizumab in UK patients with severe asthma,,"Contract to be agreed, following this Finance  & CSU approvals",123302,265439
Lee Tarnor,GA21/121996,Abdominal Medicine and Surgery,Project site in setup,18/03/2021,24/03/2021,Non-commercial non-portfolio,Improving the Diagnostic Accuracy of Single-operator Cholangioscopy,,awaiting CSU approval - instructed RT to request approval from CSU lead on OF,121996,257606
Lee Tarnor,GA21/140322,Abdominal Medicine and Surgery,Project site in setup,06/04/2021,26/04/2021,,EGIS V1.2 22Feb2021,,awaiting local approvals / CTA revd. some queries to resolve internally then liaise with CRO,140322,294258
Lee Tarnor,DT21/140468,Leeds Dental Institute,Project site in setup,08/04/2021,08/04/2021,Academic/student,Dentine production using data from decayed and sound teeth,29th April 2021 - Finance? - See correspondence ,awaiting Finance,140468,294171
Lee Tarnor,HM21/136752,Oncology,Project site in setup,13/04/2021,13/04/2021,Commercial portfolio,VIT-2763-SCD-202,,team no capacity to start set up -may miss recruitment ,136752,294381
Lee Tarnor,CD21/139592,Cardio - Respiratory,Project site in setup,29/04/2021,15/06/2021,Non-commercial portfolio,iCorMicA - Stratified medicine in angina,,awaiting local approvals,139592,280206
Lee Tarnor,HM21/139535,Oncology,Project site in setup,07/05/2021,07/05/2021,Commercial portfolio,Safety and effects of pozelimab and cemdisiran in patients with PNH,contracts/budget contact: chanda.thapa@syneoshealth.com,pending KSS,139535,295782
Lee Tarnor,GA21/127218,Abdominal Medicine and Surgery,Project site in setup,14/05/2021,14/05/2021,Non-commercial non-portfolio,"Brains, Bowels and Babies: pilot study",,awaiting local approvals,127218,256559
Lee Tarnor,UR21/139408,Abdominal Medicine and Surgery,Project site in setup,14/05/2021,14/05/2021,Non-commercial portfolio,PART,,awaiting local approvals,139408,270336
Lee Tarnor,RM21/139811,Cardio - Respiratory,Project site in setup,21/05/2021,21/05/2021,Non-commercial non-portfolio,COVID-19 antibody responses in Cystic Fibrosis patients,,awaiting Finance and CSU / no official CCC necessary - OID must be signed off and R&I Green Light issued once approvals are in place,139811,294037
Lee Tarnor,CD21/140523,Cardio - Respiratory,Project site in setup,27/05/2021,09/08/2021,Commercial portfolio,SAPIEN 3 Ultra EU Post-Market Observational Study,,CIA reviewed,140523,295790
Lee Tarnor,CD21/142334,Cardio - Respiratory,Project site in setup,02/06/2021,06/12/2021,Non-commercial portfolio,POLESTAR Trial,,R&I Ack email sent - LT to complete QC moving forwards,142334,301582
Lee Tarnor,RL21/141951,Abdominal Medicine and Surgery,Project site in setup,03/06/2021,03/06/2021,Commercial portfolio,MAESTRO,,chased R-DIT 05/07 (3rd time) -study now high priority ,141951,293215
Lee Tarnor,GA21/140575,Abdominal Medicine and Surgery,Project site in setup,17/06/2021,17/06/2021,Commercial portfolio,"APD334-202EU, CULTIVATE: Efficacy and Safety of Etrasimod for Crohn s Disease",,awaiting local approvals / CTA revd pending budget,140575,1003607
Lee Tarnor,OP21/142257,Head and Neck,Project site in setup,21/06/2021,21/06/2021,Commercial portfolio,GALE - Phase 3 GA Extension Study,awaiting green light,pending KSS,142257,296863
Lee Tarnor,MW21/141657,Women's Hospital,Project site in setup,28/06/2021,09/08/2021,Non-commercial portfolio,Preg-Cov,,Ack email forwarded to MK to send - COVID study for rapid set up once LIP received,141657,301115
Lee Tarnor,OP21/142083,Head and Neck,Project site in setup,01/07/2021,05/07/2021,Commercial portfolio,OPT-302-1005 (COAST) Phase 3 study of OPT-302 with aflibercept in neovascular AMD,,final details for contract fwd to Sponsor - awaiting final version / awaiting KSS,142083,1003719
Lee Tarnor,CO21/133177,Oncology,Project site in setup,06/07/2021,26/07/2021,Commercial portfolio,ST101-101 Phase 1-2 Study in Advanced Cancer,,Ack email sent - O/S docs requested - HRA Approval for complete LIP - Also to confirm if Contract is Modified or Unmodified.,133177,276534
Lee Tarnor,HM21/137215,Oncology,Project site in setup,15/07/2021,15/07/2021,,GS-US-546-5857,,"Ack sent, pending more info before CTA can be reviewed ",137215,297376
Lee Tarnor,RR21/137587,Chapel Allerton Hospital,Project site in setup,19/07/2021,26/07/2021,Commercial portfolio,Gazyva in Extrarenal Lupus,,pending approvals ,137587,1003808
Lee Tarnor,UR21/106190,Abdominal Medicine and Surgery,Project site in setup,19/07/2021,19/07/2021,Non-commercial portfolio,PURSUIT,,Awaiting KSS approvals and o/s study info & docs,106190,257547
Lee Tarnor,AE21/133497,Emergency and Specialty Medicine,Project site in setup,21/07/2021,10/08/2021,Non-commercial portfolio,CRASH-4,contracts manager: John.Paul@lshtm.ac.uk,"SA registered, MK to send ACK email and conduct QC",133497,283157
Lee Tarnor,GA21/125260,Abdominal Medicine and Surgery,Project site in setup,27/07/2021,16/08/2021,Non-commercial portfolio,Acute Severe Ulcerative Colitis Prospective Cohort Study,,awaiting o/s study info & localised OID / awaiting KSS approvals,125260,259837
Lee Tarnor,ED21/139538,Emergency and Specialty Medicine,Project site in setup,03/08/2021,24/08/2021,Non-commercial portfolio,V1 STRATUS Study,,"SA registered, MK to send ACK email and conduct QC",139538,273948
Lee Tarnor,RM21/125144,Cardio - Respiratory,Project site in setup,09/08/2021,13/09/2021,Non-commercial portfolio,Morphine And BrEathLessness trial (MABEL),,awaiting KSS / requested initial contract review from MK,125144,263087
Lee Tarnor,GA21/143463,Abdominal Medicine and Surgery,Project site in setup,10/08/2021,10/08/2021,Non-commercial non-portfolio,Novel Classification of IBS patients in a secondary care setting.,,awaiting KSS approvals,143463,290999
Lee Tarnor,NE21/140402,Centre for Neurosciences,Project site in setup,11/08/2021,13/08/2021,Commercial portfolio,Open Label extension study to evaluate Atogepant for Chronic Migraine,budget/contract contact: muriel.muntandu@syneoshealth.com (see correspondence for more info),awaiting o/s docs and study info / awaiting KSS approvals / CTA initial rev done,140402,293973
Lee Tarnor,HM21/140976,Oncology,Project site in setup,17/08/2021,17/08/2021,Commercial portfolio,MAGNETISMM-9,,pending study team to proceed with set up,140709,1003867
Lee Tarnor,HM21/143686,,Project site in setup,19/08/2021,19/08/2021,Commercial portfolio,A Study of CGT9486 in Patients with Advanced Systemic Mastocytosis,,"ack sent CTA fed back, R&I fee quoted, pending KSS",143686,299172
Lee Tarnor,HM21/135217,,Project site in setup,26/08/2021,10/09/2021,Commercial portfolio,BGB-3111-LTE1,,pending KSS,135217,1003360
Lee Tarnor,CD21/144221,Cardio - Respiratory,Project site in setup,09/09/2021,28/09/2021,,"The ShortCut! Study Protocol""",,awaiting KSS / CTA with BB for review,144221,302286
Lee Tarnor,DM21/143459,Chapel Allerton Hospital,Project site in setup,10/09/2021,,Non-commercial portfolio,VROOM: Vaccine Response On/Off Methotrexate,,"SA registered, MK to send ACK email and conduct QC",143459,303827
Lee Tarnor,GA21/135404,Abdominal Medicine and Surgery,Project site in setup,14/09/2021,14/09/2021,Commercial portfolio,BI 1368-0059 Phase II Anti-IL36R treatment of  fibrostenotic CD,,requested initial contract check / awaiting KSS approvals,135404,296487
Lee Tarnor,MW21/144872,Women's Hospital,Project site in setup,15/09/2021,15/09/2021,Non-commercial non-portfolio,Miscarriage and Wellbeing,,,144872,293494
Lee Tarnor,RL21/142123,Abdominal Medicine and Surgery,Project site in setup,22/09/2021,22/09/2021,Non-commercial portfolio,AlcoChange,,awaiting o/s study info / awaiting KSS,142123,287605
Lee Tarnor,HM22/136549,Oncology,Project site in setup,28/09/2021,20/01/2022,Commercial portfolio,Asciminib evaluation in previously treated CML patients,,,136549,302263
Lee Tarnor,IM21/142716,Pathology,Project site in setup,29/09/2021,02/11/2021,Commercial portfolio,Remix 2,,SA registered and sent ACK email / awaiting o/s docs and study info / contract must be forwarded for review once an R&I lead has been assigned,142716,1003916
Lee Tarnor,HM21/143307,Oncology,Project site in setup,30/09/2021,30/09/2021,Non-commercial portfolio,REMIT,,awaiting o/s study info / awaiting KSS / requested initial contract check from MK,143307,295832
Lee Tarnor,MO21/100370,Oncology,Project site in setup,05/10/2021,26/10/2021,Commercial portfolio,ATX-MAP-001 Achilles Tx Tissue Research Protocol,,Ack email sent - Sponsor POC Jennine to liaise with Brian/Liam on 1/11/21 re Contract review depending on type as not specified in HRA Letter.,100370,233696
Lee Tarnor,PA21/144033,Children's,Project site in setup,20/10/2021,29/10/2021,Non-commercial portfolio,Comparing COVID-19 Vaccine Schedule Combinations in Adolescents,,Acknowledgment Email Sent,144033,304450
Lee Tarnor,NE21/142298,Centre for Neurosciences,Project site in setup,21/10/2021,29/11/2021,Non-commercial portfolio,OPTIMISE:MS   Pregnancy Registry ,,"SA registered, LT to send email 1 and 2 + conduct QC",142298,279569
Lee Tarnor,RR21/145730,Chapel Allerton Hospital,Project site in setup,29/10/2021,29/10/2021,Academic/student,Musculoskeletal Pain in Long COVID (MUSLOC),,"SA registered, LT to conduct QC",145730,296125
Mathew Warning,PA19/125344,Children's,Project site in setup,28/10/2019,01/11/2019,Academic/student,Effective Advanced Nursing Practice,"CSU Approval
Date Site Confirmed by sponsor
Date Site Confirmed
SIV Date
Open To Recruitment Date",,125344,245178
Mathew Warning,PO19/125499,Children's,Project site in setup,19/11/2019,19/11/2019,Non-commercial portfolio,SIOP-HRMB,,Awaiting Local Approvals.,108716,256748
Mathew Warning,PO19/127085,Children's,Project site in setup,26/11/2019,19/02/2021,Non-commercial portfolio,Perceptions of Pain in Haemophilia  - a UK survey,"LTHT as PIC site.

Green Light, Open to Recruitment: emailed key contacts 06/12/2021",,127085,265546
Mathew Warning,PA19/125826,Children's,Project site in setup,02/12/2019,,,Test-retest reliability and responsiveness to change of the ChARM,18th Feb 2020 - See Correspondence Regarding Setup,,125826,252687
Mathew Warning,PA20/127495,Children's,Project site in setup,24/01/2020,24/01/2020,Non-commercial non-portfolio,The Coagulum Study - Version 1.0,,,127495,241475
Mathew Warning,PA20/127770,Children's,Project site in setup,28/01/2020,,Non-commercial non-portfolio,Tinnitus in Children Questionnaire,PIC Site,,127770,275112
Mathew Warning,PA20/133340,Children's,Project site in setup,15/09/2020,,Non-commercial non-portfolio,COACHED Study,Awaiting confirmation from Mathew Warning before adding further details. (Email),,133340,283054
Mathew Warning,PO20/122834,Children's,Project site in setup,18/09/2020,29/01/2021,Non-commercial portfolio,ALLTogether1,,Del log for complete LIP & Local approvals.,122834,272164
Mathew Warning,PA20/133935,Children's,Project site in setup,29/09/2020,06/05/2021,Commercial portfolio,Biliary Atresia Odevixibat Liver Disease (BOLD),"9 DEC, modified agreement fwd to BB
SA: contract negotiator: mark.evans@syneoshealth.com (see notification from Collette in SA02)",pending finance to rev final contract. pending some KSS expected soon,133935,279864
Mathew Warning,PO20/137063,Children's,Project site in setup,09/11/2020,09/11/2020,Commercial portfolio,ALXN-1210-TMA-314,,SGL and SIV date,136860,288227
Mathew Warning,PO19/121752,Children's,Project site in setup,18/01/2021,10/05/2021,Non-commercial portfolio,VERITAS,"IRMER received - ready for contract signatures. 
Sponsor has confirmed are happy for wet signature and sharing of pdf version of final document.",,121752,254424
Mathew Warning,PA21/137438,Children's,Project site in setup,22/01/2021,01/02/2021,Non-commercial portfolio,SLUMBRS2,Looking to open to recruitment in January 2021. Signed contract received. Requires delegation log to issue CCC - requested from study team.,Requires signed delegation log to permit CCC.,137438,276338
Mathew Warning,PS21/130663,Children's,Project site in setup,25/01/2021,22/07/2021,Non-commercial portfolio,Bracing Adolescent Idiopathic ScoliosIS (BASIS) Study,"only draft protocol submitted, requested all o/s docs and information (see correspondence)

LIP received (not complete) - uploaded docs and asked IS to request the remaining o/s information and docs",LIP Complete - Awaiting Approvals - forwarded to MK for initial review.,130663,291133
Mathew Warning,PA21/138139,Children's,Project site in setup,23/02/2021,02/03/2021,Commercial portfolio,FGCL-3019-094,WilsonKamso@prahs.com - contracts and budget,ccc issued 28/10,138139,1003519
Mathew Warning,PO16/8900,Children's,Project site in setup,21/03/2021,,Non-commercial portfolio,CRISP..,Spoke to Rebecca Mottram Senior RN - advising for OneForm will need standard complete LIP/Key Data etc.,Ack email sent - awaiting O/S LIP docs.,89000,241002
